segment,human_ref,Model H_std_wer,Model H_lat_wer,Model i_std_wer,Model i_lat_wer,Model k_std_wer,Model k_lat_wer,Model l_std_wer,Model l_lat_wer,Model m_std_wer,Model m_lat_wer,Model n_std_wer,Model n_lat_wer
20,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रखा हुआ है लिफ्ट भी है,0.0,0.0,0.0,0.0,0.2609,0.1739,0.1304,0.0435,0.2174,0.1739,0.1304,0.087
21,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतलब हमको वहाँ पे उतरे कोटा मतलब कोटा है राजस्थान के कोटा में तो रात में उतरे तो फिर रात भर हमको,0.0244,0.0244,0.0,0.0,0.0488,0.0,0.0488,0.0244,0.1707,0.122,0.1707,0.122
22,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब आपकी पसंदीदा खिचड़ी भी बनाऊँगी और मैंने यही मैंने बात टालने की ही कोशिश की मैंने दूसरा रास्ता चुना,0.025,0.025,0.0,0.0,0.075,0.05,0.05,0.025,0.25,0.2,0.2,0.125
23,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान रखूँ,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0,0.2353,0.0588,0.2353,0.1176
24,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,0.0,0.0,0.0,0.0,0.0588,0.0588,0.1176,0.1176,0.0588,0.0588,0.0,0.0
25,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए तो,0.0556,0.0556,0.0,0.0,0.0,0.0,0.1111,0.0556,0.1111,0.0556,0.1111,0.1111
26,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,0.1176,0.0588,0.0,0.0,0.0,0.0,0.1176,0.1176,0.1765,0.1176,0.0588,0.0588
27,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,0.125,0.125,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0
28,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,0.0,0.0,0.0,0.0,0.0588,0.0,0.1176,0.0588,0.0588,0.0,0.1176,0.0588
29,तकनीकी युग में क्यों टिके हुए हैं,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,0.5714,0.4286,0.4286,0.2857,0.2857
30,प्रयागराज अभी कुंभ मेला लगा था। ना,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.2857,0.2857
31,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.2857,0.4286,0.2857,0.0,0.0
32,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,0.0714,0.0,0.0714,0.0714,0.1429,0.0714,0.0714,0.0,0.0,0.0,0.0,0.0
33,दिखाओ वाकई वाकई सही बोल रहे हो,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0
34,तो भारत तो एक खुद से ही गिफ्टेड लैंड है तो हमें इसको एक्सप्लोर करना चाहिए देखना चाहिए,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,जी उसके बाद भी भाई दूज वगैरह होता है उसमें भी रिश्तेदार आते हैं बहनें आती हैं मेरी।,0.0,0.0,0.0,0.0,0.1111,0.0556,0.1111,0.0556,0.1667,0.1667,0.1111,0.1111
36,कौन सी एक पहचान स्वाद या ध्वनि तुरंत आपको बचपन की यादों में ले जाती है क्या बताएंगी,0.0,0.0,0.0,0.0,0.0556,0.0,0.0556,0.0556,0.1111,0.0556,0.0556,0.0
37,मेरे भाई बहनों के साथ मैं खेलता था हम एक चबूतरे पर बैठे रहते थे बचपन में,0.2353,0.1765,0.0,0.0,0.6471,0.6471,0.1176,0.0588,0.0588,0.0,0.0,0.0
38,क्योंकि मूंग की दाल पौष्टिक रहती है तो खाने की बोलते हैं तो वो मूंग की दाल में इतनी सारी बीमारी आ रही है क्योंकि वो दवाई अच्छी नहीं बन रही है जो दवा डालते हैं ना,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.0811,0.027,0.1081,0.1081
39,शहरी जीवन बीमा बनाम छोटे शहर का जीवन आपके शहर या कस्बे के माहौल में बड़े होने से आपको,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.0
40,हाँ नहीं तो पहले डेस्कटॉप था ना बाद में लैपटॉप आया लैपटॉप ने इजी आसान बना दिया है काम,0.0,0.0,0.0,0.0,0.2105,0.2105,0.1053,0.0526,0.0526,0.0,0.1579,0.1053
41,अब इसमें लिखा है आपकी मदद करने की प्रवृत्ति को सबसे ज़्यादा कौन सी आंतरिक मूल्य प्रेरित करता है,0.0,0.0,0.0,0.0,0.0526,0.0,0.1579,0.0,0.1579,0.0,0.0526,0.0
42,मुझे म्यूजिक सुनना पसंद है गाना भी पसंद है एक्चुअली और डांसिंग तो पैशन है मेरा बहुत पसंद है,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0526,0.0,0.0,0.0
43,वहाँ पर बहुत रंग बिरंगी फूल रहता है झूला रहता है वहाँ पर बहुत चीज़ें खेलने को मिलती है,0.0,0.0,0.0,0.0,0.1579,0.0,0.0,0.0,0.2632,0.0526,0.2105,0.0526
44,एक मेरा काम नहीं है निकलवाना लेकिन मेरे पास पता चला मुझे,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0833
45,चलो भगवान ने बचा लिया कुछ बड़ा नहीं हुआ चलो इतने से ही मतलब जो हमारे ऊपर कुछ थी वो बला वो टल गई,0.0,0.0,0.0417,0.0417,0.0,0.0,0.0,0.0,0.0833,0.0833,0.125,0.125
46,मेहनत तो कहीं व्यर्थ नहीं जाता है देर से ही आता है,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6667,0.0833,0.0833
